affiliation,citations
60117634,47.0
112573069,47.0
60097963,47.0
115806194,47.0
60118936,47.0
60008124,46.0
60008854,46.0
60099298,46.0
60012630,46.0
119756000,46.0
60013496,46.0
60000964,46.0
60010491,46.0
60129232,46.0
126140986,46.0
60170225,46.0
60008576,46.0
60071359,46.0
114784740,46.0
60007954,46.0
60094200,46.0
112854741,46.0
100351227,46.0
60068709,46.0
60072704,46.0
60022457,46.0
121578139,46.0
60009652,46.0
60080064,46.0
60025094,46.0
115951248,46.0
60009625,45.0
60102019,45.0
60022193,45.0
60016896,45.0
60018474,45.0
118496672,45.0
109641489,45.0
114026077,45.0
60011666,45.0
112606363,45.0
60023190,45.0
60003593,45.0
60106665,45.0
60013121,45.0
112934326,45.0
115156584,45.0
60016529,45.0
60014586,45.0
60007253,45.0
60110806,45.0
60026154,45.0
60025307,44.0
60011460,44.0
100328762,44.0
60032907,44.0
60020297,44.0
60016253,44.0
60104429,44.0
60029943,44.0
60025948,44.0
60017606,44.0
120833595,44.0
60104225,44.0
114442460,44.0
106675163,44.0
120963997,44.0
121501831,44.0
114154218,44.0
124425320,44.0
60023050,44.0
60018934,44.0
60122722,44.0
60106549,44.0
115406186,44.0
60002246,44.0
129402719,44.0
60027109,44.0
60005865,44.0
60014200,44.0
60028263,44.0
60002963,43.0
120477281,43.0
60014292,43.0
60027863,43.0
60109436,43.0
60005661,43.0
124340151,43.0
60005803,43.0
100320134,43.0
60069447,43.0
60082135,43.0
60012022,43.0
60071894,43.0
60000912,43.0
60025584,43.0
60117771,43.0
60011442,43.0
106212565,43.0
60073440,43.0
60026227,42.0
60033011,42.0
60017563,42.0
60022403,42.0
121943610,42.0
60109828,42.0
60118617,42.0
60128181,42.0
60009358,42.0
60032607,42.0
60008386,42.0
100952129,42.0
60052242,42.0
